Name,total_score,mae_task1,mae_task2,mae_combined,candidate_no,DROP_COLUMNS,NORMALIZATIONS,HIDDEN_LAYERS,iterations,solver,lr_init,momentum,lr
Candidat_691278,100,0.326617749,0.319937581,0.64655533,691278,['User_ID'],Standard,"[64, 64]",2000,sgd,0.0001,1,adaptive
Candidat_691279,100,0.326617749,0.319937581,0.64655533,691279,['User_ID'],Standard,"[64, 64]",2000,sgd,0.0001,0.99,constant
Candidat_691276,100,0.326617749,0.319937581,0.64655533,691276,['User_ID'],Standard,"[64, 64]",2000,sgd,0.0001,1,constant
Candidat_691277,100,0.326617749,0.319937581,0.64655533,691277,['User_ID'],Standard,"[64, 64]",2000,sgd,0.0001,1,invscaling
Candidat_691280,100,0.326617749,0.319937581,0.64655533,691280,['User_ID'],Standard,"[64, 64]",2000,sgd,0.0001,0.99,invscaling
Candidat_691281,100,0.326617749,0.319937581,0.64655533,691281,['User_ID'],Standard,"[64, 64]",2000,sgd,0.0001,0.99,adaptive
Candidat_691282,100,0.326617749,0.319937581,0.64655533,691282,['User_ID'],Standard,"[64, 64]",2000,sgd,0.0001,0.95,constant
Candidat_691283,100,0.326617749,0.319937581,0.64655533,691283,['User_ID'],Standard,"[64, 64]",2000,sgd,0.0001,0.95,invscaling
Candidat_691284,100,0.326617749,0.319937581,0.64655533,691284,['User_ID'],Standard,"[64, 64]",2000,sgd,0.0001,0.95,adaptive
Candidat_691285,100,0.326617749,0.319937581,0.64655533,691285,['User_ID'],Standard,"[64, 64]",2000,sgd,0.0001,0.9,constant
Candidat_691286,100,0.326617749,0.319937581,0.64655533,691286,['User_ID'],Standard,"[64, 64]",2000,sgd,0.0001,0.9,invscaling
Candidat_691287,100,0.326617749,0.319937581,0.64655533,691287,['User_ID'],Standard,"[64, 64]",2000,sgd,0.0001,0.9,adaptive
Candidat_691288,100,0.326617749,0.319937581,0.64655533,691288,['User_ID'],Standard,"[64, 64]",2000,sgd,0.0001,0.85,constant
Candidat_691289,100,0.326617749,0.319937581,0.64655533,691289,['User_ID'],Standard,"[64, 64]",2000,sgd,0.0001,0.85,invscaling
Candidat_691290,100,0.326617749,0.319937581,0.64655533,691290,['User_ID'],Standard,"[64, 64]",2000,sgd,0.0001,0.85,adaptive
Candidat_689582,100,0.342798147,0.31422115,0.657019296,689582,['User_ID'],Standard,"[64, 16]",2000,sgd,0.0005,1,invscaling
Candidat_689581,100,0.342798147,0.31422115,0.657019296,689581,['User_ID'],Standard,"[64, 16]",2000,sgd,0.0005,1,constant
Candidat_689583,100,0.342798147,0.31422115,0.657019296,689583,['User_ID'],Standard,"[64, 16]",2000,sgd,0.0005,1,adaptive
Candidat_689585,100,0.342798147,0.31422115,0.657019296,689585,['User_ID'],Standard,"[64, 16]",2000,sgd,0.0005,0.99,invscaling
Candidat_689586,100,0.342798147,0.31422115,0.657019296,689586,['User_ID'],Standard,"[64, 16]",2000,sgd,0.0005,0.99,adaptive
Candidat_689587,100,0.342798147,0.31422115,0.657019296,689587,['User_ID'],Standard,"[64, 16]",2000,sgd,0.0005,0.95,constant
Candidat_689588,100,0.342798147,0.31422115,0.657019296,689588,['User_ID'],Standard,"[64, 16]",2000,sgd,0.0005,0.95,invscaling
Candidat_689589,100,0.342798147,0.31422115,0.657019296,689589,['User_ID'],Standard,"[64, 16]",2000,sgd,0.0005,0.95,adaptive
Candidat_689590,100,0.342798147,0.31422115,0.657019296,689590,['User_ID'],Standard,"[64, 16]",2000,sgd,0.0005,0.9,constant
Candidat_689591,100,0.342798147,0.31422115,0.657019296,689591,['User_ID'],Standard,"[64, 16]",2000,sgd,0.0005,0.9,invscaling
Candidat_689592,100,0.342798147,0.31422115,0.657019296,689592,['User_ID'],Standard,"[64, 16]",2000,sgd,0.0005,0.9,adaptive
Candidat_689593,100,0.342798147,0.31422115,0.657019296,689593,['User_ID'],Standard,"[64, 16]",2000,sgd,0.0005,0.85,constant
Candidat_689594,100,0.342798147,0.31422115,0.657019296,689594,['User_ID'],Standard,"[64, 16]",2000,sgd,0.0005,0.85,invscaling
