Name,Detailed,Total
Candidat_705515,"[10, 10, 10, 10, 40, 20]",100
Candidat_724874,"[10, 10, 10, 10, 40, 20]",100
Candidat_724868,"[10, 10, 10, 10, 40, 20]",100
Candidat_724869,"[10, 10, 10, 10, 40, 20]",100
Candidat_724870,"[10, 10, 10, 10, 40, 20]",100
Candidat_724871,"[10, 10, 10, 10, 40, 20]",100
Candidat_724872,"[10, 10, 10, 10, 40, 20]",100
Candidat_724873,"[10, 10, 10, 10, 40, 20]",100
Candidat_724875,"[10, 10, 10, 10, 40, 20]",100
Candidat_727393,"[10, 10, 10, 10, 40, 20]",100
Candidat_724876,"[10, 10, 10, 10, 40, 20]",100
Candidat_724877,"[10, 10, 10, 10, 40, 20]",100
Candidat_724878,"[10, 10, 10, 10, 40, 20]",100
Candidat_724879,"[10, 10, 10, 10, 40, 20]",100
Candidat_724880,"[10, 10, 10, 10, 40, 20]",100
Candidat_724881,"[10, 10, 10, 10, 40, 20]",100
Candidat_724867,"[10, 10, 10, 10, 40, 20]",100
Candidat_724866,"[10, 10, 10, 10, 40, 20]",100
Candidat_724865,"[10, 10, 10, 10, 40, 20]",100
Candidat_724864,"[10, 10, 10, 10, 40, 20]",100
Candidat_724863,"[10, 10, 10, 10, 40, 20]",100
Candidat_724862,"[10, 10, 10, 10, 40, 20]",100
Candidat_724861,"[10, 10, 10, 10, 40, 20]",100
Candidat_724860,"[10, 10, 10, 10, 40, 20]",100
Candidat_724859,"[10, 10, 10, 10, 40, 20]",100
Candidat_724858,"[10, 10, 10, 10, 40, 20]",100
Candidat_724857,"[10, 10, 10, 10, 40, 20]",100
Candidat_724856,"[10, 10, 10, 10, 40, 20]",100
Candidat_724855,"[10, 10, 10, 10, 40, 20]",100
Candidat_724854,"[10, 10, 10, 10, 40, 20]",100
Candidat_724853,"[10, 10, 10, 10, 40, 20]",100
Candidat_724852,"[10, 10, 10, 10, 40, 20]",100
Candidat_724851,"[10, 10, 10, 10, 40, 20]",100
Candidat_724882,"[10, 10, 10, 10, 40, 20]",100
Candidat_724883,"[10, 10, 10, 10, 40, 20]",100
Candidat_724884,"[10, 10, 10, 10, 40, 20]",100
Candidat_725681,"[10, 10, 10, 10, 40, 20]",100
Candidat_725695,"[10, 10, 10, 10, 40, 20]",100
Candidat_725694,"[10, 10, 10, 10, 40, 20]",100
Candidat_725693,"[10, 10, 10, 10, 40, 20]",100
Candidat_725692,"[10, 10, 10, 10, 40, 20]",100
Candidat_725691,"[10, 10, 10, 10, 40, 20]",100
Candidat_725690,"[10, 10, 10, 10, 40, 20]",100
Candidat_725689,"[10, 10, 10, 10, 40, 20]",100
Candidat_725688,"[10, 10, 10, 10, 40, 20]",100
Candidat_725687,"[10, 10, 10, 10, 40, 20]",100
Candidat_725686,"[10, 10, 10, 10, 40, 20]",100
Candidat_725685,"[10, 10, 10, 10, 40, 20]",100
Candidat_725684,"[10, 10, 10, 10, 40, 20]",100
Candidat_725683,"[10, 10, 10, 10, 40, 20]",100
Candidat_725682,"[10, 10, 10, 10, 40, 20]",100
Candidat_725680,"[10, 10, 10, 10, 40, 20]",100
Candidat_724885,"[10, 10, 10, 10, 40, 20]",100
Candidat_725679,"[10, 10, 10, 10, 40, 20]",100
Candidat_725678,"[10, 10, 10, 10, 40, 20]",100
Candidat_725677,"[10, 10, 10, 10, 40, 20]",100
Candidat_725676,"[10, 10, 10, 10, 40, 20]",100
Candidat_725675,"[10, 10, 10, 10, 40, 20]",100
Candidat_725674,"[10, 10, 10, 10, 40, 20]",100
Candidat_725673,"[10, 10, 10, 10, 40, 20]",100
Candidat_725672,"[10, 10, 10, 10, 40, 20]",100
Candidat_725671,"[10, 10, 10, 10, 40, 20]",100
Candidat_724890,"[10, 10, 10, 10, 40, 20]",100
Candidat_724889,"[10, 10, 10, 10, 40, 20]",100
Candidat_724888,"[10, 10, 10, 10, 40, 20]",100
Candidat_724887,"[10, 10, 10, 10, 40, 20]",100
Candidat_724886,"[10, 10, 10, 10, 40, 20]",100
Candidat_724850,"[10, 10, 10, 10, 40, 20]",100
Candidat_724849,"[10, 10, 10, 10, 40, 20]",100
Candidat_724848,"[10, 10, 10, 10, 40, 20]",100
Candidat_724018,"[10, 10, 10, 10, 40, 20]",100
Candidat_724032,"[10, 10, 10, 10, 40, 20]",100
Candidat_724031,"[10, 10, 10, 10, 40, 20]",100
Candidat_724030,"[10, 10, 10, 10, 40, 20]",100
Candidat_724029,"[10, 10, 10, 10, 40, 20]",100
Candidat_724028,"[10, 10, 10, 10, 40, 20]",100
Candidat_724027,"[10, 10, 10, 10, 40, 20]",100
Candidat_724026,"[10, 10, 10, 10, 40, 20]",100
Candidat_724025,"[10, 10, 10, 10, 40, 20]",100
Candidat_724024,"[10, 10, 10, 10, 40, 20]",100
Candidat_724023,"[10, 10, 10, 10, 40, 20]",100
Candidat_724022,"[10, 10, 10, 10, 40, 20]",100
Candidat_724021,"[10, 10, 10, 10, 40, 20]",100
Candidat_724020,"[10, 10, 10, 10, 40, 20]",100
Candidat_724019,"[10, 10, 10, 10, 40, 20]",100
Candidat_724017,"[10, 10, 10, 10, 40, 20]",100
Candidat_724034,"[10, 10, 10, 10, 40, 20]",100
Candidat_724016,"[10, 10, 10, 10, 40, 20]",100
Candidat_724015,"[10, 10, 10, 10, 40, 20]",100
Candidat_724014,"[10, 10, 10, 10, 40, 20]",100
Candidat_724013,"[10, 10, 10, 10, 40, 20]",100
Candidat_724012,"[10, 10, 10, 10, 40, 20]",100
Candidat_724011,"[10, 10, 10, 10, 40, 20]",100
Candidat_724010,"[10, 10, 10, 10, 40, 20]",100
Candidat_724009,"[10, 10, 10, 10, 40, 20]",100
Candidat_724008,"[10, 10, 10, 10, 40, 20]",100
Candidat_724007,"[10, 10, 10, 10, 40, 20]",100
Candidat_724006,"[10, 10, 10, 10, 40, 20]",100
Candidat_724005,"[10, 10, 10, 10, 40, 20]",100
Candidat_724004,"[10, 10, 10, 10, 40, 20]",100
Candidat_724003,"[10, 10, 10, 10, 40, 20]",100
Candidat_724033,"[10, 10, 10, 10, 40, 20]",100
Candidat_724035,"[10, 10, 10, 10, 40, 20]",100
Candidat_724847,"[10, 10, 10, 10, 40, 20]",100
Candidat_724832,"[10, 10, 10, 10, 40, 20]",100
Candidat_724846,"[10, 10, 10, 10, 40, 20]",100
Candidat_724845,"[10, 10, 10, 10, 40, 20]",100
Candidat_724844,"[10, 10, 10, 10, 40, 20]",100
Candidat_724843,"[10, 10, 10, 10, 40, 20]",100
Candidat_724842,"[10, 10, 10, 10, 40, 20]",100
Candidat_724841,"[10, 10, 10, 10, 40, 20]",100
Candidat_724840,"[10, 10, 10, 10, 40, 20]",100
Candidat_724839,"[10, 10, 10, 10, 40, 20]",100
Candidat_724838,"[10, 10, 10, 10, 40, 20]",100
Candidat_724837,"[10, 10, 10, 10, 40, 20]",100
Candidat_724836,"[10, 10, 10, 10, 40, 20]",100
Candidat_724835,"[10, 10, 10, 10, 40, 20]",100
Candidat_724834,"[10, 10, 10, 10, 40, 20]",100
Candidat_724833,"[10, 10, 10, 10, 40, 20]",100
Candidat_724831,"[10, 10, 10, 10, 40, 20]",100
Candidat_724036,"[10, 10, 10, 10, 40, 20]",100
Candidat_724050,"[10, 10, 10, 10, 40, 20]",100
Candidat_724049,"[10, 10, 10, 10, 40, 20]",100
Candidat_724048,"[10, 10, 10, 10, 40, 20]",100
Candidat_724047,"[10, 10, 10, 10, 40, 20]",100
Candidat_724046,"[10, 10, 10, 10, 40, 20]",100
Candidat_724045,"[10, 10, 10, 10, 40, 20]",100
Candidat_724044,"[10, 10, 10, 10, 40, 20]",100
Candidat_724043,"[10, 10, 10, 10, 40, 20]",100
Candidat_724042,"[10, 10, 10, 10, 40, 20]",100
Candidat_724041,"[10, 10, 10, 10, 40, 20]",100
Candidat_724040,"[10, 10, 10, 10, 40, 20]",100
Candidat_724039,"[10, 10, 10, 10, 40, 20]",100
Candidat_724038,"[10, 10, 10, 10, 40, 20]",100
Candidat_724037,"[10, 10, 10, 10, 40, 20]",100
Candidat_725696,"[10, 10, 10, 10, 40, 20]",100
Candidat_725697,"[10, 10, 10, 10, 40, 20]",100
Candidat_725698,"[10, 10, 10, 10, 40, 20]",100
Candidat_726563,"[10, 10, 10, 10, 40, 20]",100
Candidat_727357,"[10, 10, 10, 10, 40, 20]",100
Candidat_727356,"[10, 10, 10, 10, 40, 20]",100
Candidat_727355,"[10, 10, 10, 10, 40, 20]",100
Candidat_727354,"[10, 10, 10, 10, 40, 20]",100
Candidat_727353,"[10, 10, 10, 10, 40, 20]",100
Candidat_727352,"[10, 10, 10, 10, 40, 20]",100
Candidat_727351,"[10, 10, 10, 10, 40, 20]",100
Candidat_726570,"[10, 10, 10, 10, 40, 20]",100
Candidat_726569,"[10, 10, 10, 10, 40, 20]",100
Candidat_726568,"[10, 10, 10, 10, 40, 20]",100
Candidat_726567,"[10, 10, 10, 10, 40, 20]",100
Candidat_726566,"[10, 10, 10, 10, 40, 20]",100
Candidat_726565,"[10, 10, 10, 10, 40, 20]",100
Candidat_726564,"[10, 10, 10, 10, 40, 20]",100
Candidat_726562,"[10, 10, 10, 10, 40, 20]",100
Candidat_727359,"[10, 10, 10, 10, 40, 20]",100
Candidat_726561,"[10, 10, 10, 10, 40, 20]",100
Candidat_726560,"[10, 10, 10, 10, 40, 20]",100
Candidat_726559,"[10, 10, 10, 10, 40, 20]",100
Candidat_726558,"[10, 10, 10, 10, 40, 20]",100
Candidat_726557,"[10, 10, 10, 10, 40, 20]",100
Candidat_726556,"[10, 10, 10, 10, 40, 20]",100
Candidat_726555,"[10, 10, 10, 10, 40, 20]",100
Candidat_726554,"[10, 10, 10, 10, 40, 20]",100
Candidat_726553,"[10, 10, 10, 10, 40, 20]",100
Candidat_726552,"[10, 10, 10, 10, 40, 20]",100
Candidat_726551,"[10, 10, 10, 10, 40, 20]",100
Candidat_726550,"[10, 10, 10, 10, 40, 20]",100
Candidat_726549,"[10, 10, 10, 10, 40, 20]",100
Candidat_726548,"[10, 10, 10, 10, 40, 20]",100
Candidat_727358,"[10, 10, 10, 10, 40, 20]",100
Candidat_727360,"[10, 10, 10, 10, 40, 20]",100
Candidat_726546,"[10, 10, 10, 10, 40, 20]",100
Candidat_727377,"[10, 10, 10, 10, 40, 20]",100
Candidat_727391,"[10, 10, 10, 10, 40, 20]",100
Candidat_727390,"[10, 10, 10, 10, 40, 20]",100
Candidat_727389,"[10, 10, 10, 10, 40, 20]",100
Candidat_727388,"[10, 10, 10, 10, 40, 20]",100
Candidat_727387,"[10, 10, 10, 10, 40, 20]",100
Candidat_727386,"[10, 10, 10, 10, 40, 20]",100
Candidat_727385,"[10, 10, 10, 10, 40, 20]",100
Candidat_727384,"[10, 10, 10, 10, 40, 20]",100
Candidat_727383,"[10, 10, 10, 10, 40, 20]",100
Candidat_727382,"[10, 10, 10, 10, 40, 20]",100
Candidat_727381,"[10, 10, 10, 10, 40, 20]",100
Candidat_727380,"[10, 10, 10, 10, 40, 20]",100
Candidat_727379,"[10, 10, 10, 10, 40, 20]",100
Candidat_727378,"[10, 10, 10, 10, 40, 20]",100
Candidat_727376,"[10, 10, 10, 10, 40, 20]",100
Candidat_727361,"[10, 10, 10, 10, 40, 20]",100
Candidat_727375,"[10, 10, 10, 10, 40, 20]",100
Candidat_727374,"[10, 10, 10, 10, 40, 20]",100
Candidat_727373,"[10, 10, 10, 10, 40, 20]",100
Candidat_727372,"[10, 10, 10, 10, 40, 20]",100
Candidat_727371,"[10, 10, 10, 10, 40, 20]",100
Candidat_727370,"[10, 10, 10, 10, 40, 20]",100
Candidat_727369,"[10, 10, 10, 10, 40, 20]",100
Candidat_727368,"[10, 10, 10, 10, 40, 20]",100
Candidat_727367,"[10, 10, 10, 10, 40, 20]",100
Candidat_727366,"[10, 10, 10, 10, 40, 20]",100
Candidat_727365,"[10, 10, 10, 10, 40, 20]",100
Candidat_727364,"[10, 10, 10, 10, 40, 20]",100
Candidat_727363,"[10, 10, 10, 10, 40, 20]",100
Candidat_727362,"[10, 10, 10, 10, 40, 20]",100
Candidat_726547,"[10, 10, 10, 10, 40, 20]",100
Candidat_726545,"[10, 10, 10, 10, 40, 20]",100
Candidat_725699,"[10, 10, 10, 10, 40, 20]",100
Candidat_725715,"[10, 10, 10, 10, 40, 20]",100
